"","r1_hat","d1_hat","r2_hat","d2_hat","is_correct","error1","error2","error3"
"1",3,2,2,1,1,0.491261380705286,0.246724218187954,0.194444449151279
"2",3,2,2,1,1,0.551689429177028,0.278497631951107,0.251235950340744
"3",3,2,2,1,1,0.546494797862427,0.282799379692367,0.23188875566229
"4",3,2,2,1,1,0.546827738801291,0.271653001270338,0.216450535980365
"5",3,2,2,1,1,0.539037421602405,0.270223050231845,0.204494776263585
"6",3,2,2,1,1,0.543125683551826,0.296111463935748,0.251441401090702
"7",3,2,2,1,1,0.505710442031247,0.24429464182308,0.18879559930584
"8",3,2,2,1,1,0.59812445849145,0.319378561232413,0.28710002483092
"9",3,2,2,1,1,0.525659318256705,0.251456465178686,0.212394931556446
"10",3,2,2,1,1,0.533119646319827,0.287458317712483,0.233616203717046
"11",3,2,2,1,1,0.50296595966324,0.256203425865855,0.221247361043408
"12",3,2,2,1,1,0.555346073338647,0.268240892553627,0.232379027661475
"13",3,2,2,1,1,0.626231831263376,0.281887403402697,0.245254682514553
"14",3,2,2,1,1,0.558465002754349,0.302642665847973,0.22560092381239
"15",3,2,2,1,1,0.615087920589642,0.336487849587496,0.287406574579008
"16",3,2,2,1,1,0.51088696818812,0.253101802624961,0.20126995785126
"17",3,2,2,1,1,0.54916490162699,0.283251400522406,0.233609853115187
"18",3,2,2,1,1,0.566486036074465,0.302844346148951,0.249020919356367
"19",3,2,2,1,1,0.542283058194991,0.308524198873283,0.263587123064934
"20",3,2,2,1,1,0.570353471827735,0.286951438918681,0.242674281656464
"21",3,2,2,1,1,0.584866698328292,0.2988966085245,0.24961203559089
"22",3,2,2,1,1,0.53866053783701,0.280023442855496,0.216904270086894
"23",3,2,2,1,1,0.594452072556539,0.267482035738061,0.233505046707211
"24",3,2,2,1,1,0.511534107231407,0.260820032045474,0.226378252865879
"25",3,2,2,1,1,0.5465412654162,0.25454594960276,0.202337591459874
"26",3,2,2,1,1,0.521578040000159,0.257027747290061,0.219756336727225
"27",3,2,2,1,1,0.594001576836671,0.311948201591842,0.259266279810712
"28",3,2,2,1,1,0.540208579526985,0.234582850077934,0.177814537513261
"29",3,2,2,1,1,0.527472529361207,0.239973516621051,0.177517656450334
"30",3,2,2,1,1,0.562469711636448,0.279559113240674,0.239517805505383
"31",3,2,2,1,1,0.63348747641607,0.329598626892667,0.277630061520401
"32",3,2,2,1,1,0.568594596283709,0.286463106507973,0.240467164339737
"33",3,2,2,1,1,0.582325564548854,0.283767461063409,0.257013634369651
"34",3,2,2,1,1,0.614018413241756,0.338588399197289,0.280013160801578
"35",3,2,2,1,1,0.634956860903528,0.315994716369787,0.281608141058589
"36",3,2,2,1,1,0.568916451627976,0.294704741422601,0.242810124799869
"37",3,2,2,1,1,0.535340600289405,0.286948619153698,0.242477016094602
"38",3,2,2,1,1,0.483609865408169,0.221155978417737,0.179534926025144
"39",3,2,2,1,1,0.556266018524923,0.293723104247147,0.233474964315405
"40",3,2,2,1,1,0.509386978773638,0.228102238237234,0.170289434544112
"41",3,2,2,1,1,0.591092518521486,0.301803490200746,0.257708260518475
"42",3,2,2,1,1,0.56208147998659,0.260664096420198,0.224897584241773
"43",3,2,2,1,1,0.604355374966016,0.32393874210346,0.275459719953286
"44",3,2,2,1,1,0.578174672589116,0.294593493951093,0.24523838977404
"45",3,2,2,1,1,0.558880075670178,0.290291336335538,0.243710695839334
"46",3,2,2,1,1,0.57327220990497,0.305787106517481,0.259006637330283
"47",3,2,2,1,1,0.545099691950384,0.266746338917462,0.222543873392408
"48",3,2,2,1,1,0.543954038545999,0.256332594614457,0.219144729116722
"49",3,2,2,1,1,0.494626864926561,0.235564672605591,0.189537256973285
"50",3,2,2,1,1,0.576221607289143,0.275662042905311,0.236752412161186
"51",3,2,2,1,1,0.509072389014818,0.260858728166499,0.216071022880667
