,r1,d1,r2,d2,correct,TS_rank1,TS_rank2,L1_TStrue,L2_TStrue,L1_TSfalse,L2_TSfalse,L1_MARwCF,L2_MARwCF
1,1,1,1,1,1,1,1,0.079573851,0.092276188,0.079573851,0.092276188,0.074466432,0.100363302
2,1,1,1,1,1,1,1,0.133005317,0.124752307,0.133005317,0.124752307,0.10625295,0.117300984
3,1,1,1,1,1,1,1,0.136895257,0.196756533,0.136895257,0.196756533,0.132348339,0.163288779
4,1,1,1,1,1,1,1,0.135471012,0.223759263,0.135471012,0.223759263,0.138317267,0.170660797
5,1,1,1,1,1,1,1,0.147194575,0.143055956,0.147194575,0.143055956,0.105784079,0.107995582
6,1,1,1,1,1,1,1,0.131223394,0.096052994,0.131223394,0.096052994,0.112574108,0.095887255
7,1,1,1,1,1,1,1,0.115384694,0.141473945,0.115384694,0.141473945,0.123011931,0.119649329
8,7,7,6,6,0,1,1,0.227453014,0.236056424,0.227453014,0.236056424,2.59009789,2.423500077
9,1,1,1,1,1,1,1,0.120992859,0.122481515,0.120992859,0.122481515,0.110336587,0.122157548
10,1,1,1,1,1,1,1,0.105080291,0.11914812,0.105080291,0.11914812,0.098739708,0.106785843
11,1,1,1,1,1,1,1,0.206863411,0.2214491,0.206863411,0.2214491,1.328912982,1.037327459
12,1,1,1,1,1,1,1,0.14615577,0.208742025,0.14615577,0.208742025,0.10611795,0.155667015
13,1,1,1,1,1,1,1,0.107072965,0.161822446,0.107072965,0.161822446,0.097094422,0.133434413
14,1,1,1,1,1,1,1,0.114666765,0.126000425,0.114666765,0.126000425,0.112047597,0.102397107
15,1,1,1,1,1,1,1,0.176268342,0.12013844,0.176268342,0.12013844,0.152972733,0.109116317
16,6,6,1,1,0,1,1,0.191365774,0.137525519,0.191365774,0.137525519,2.467841588,1.409653023
17,1,0,1,0,0,1,1,0.032508854,0.022544017,0.032508854,0.022544017,NA,NA
18,1,1,1,1,1,1,1,0.147183449,0.127979705,0.147183449,0.127979705,0.145177255,0.145618226
19,1,1,1,1,1,1,1,0.210876233,0.151164876,0.210876233,0.151164876,0.169959656,0.155205028
20,1,1,1,1,1,1,1,0.137537747,0.102815169,0.137537747,0.102815169,0.123022532,0.062021227
21,1,1,1,1,1,1,1,0.114573094,0.147382879,0.114573094,0.147382879,0.097454306,0.127733998
22,2,2,6,6,0,1,1,0.165296448,0.257431907,0.165296448,0.257431907,1.720325824,2.501537764
23,1,1,1,1,1,1,1,0.068186288,0.083525018,0.068186288,0.083525018,0.049041458,0.073352176
24,1,1,1,1,1,1,1,0.117976958,0.133397146,0.117976958,0.133397146,0.092518899,0.119635384
25,1,1,1,1,1,1,1,0.136193643,0.123245944,0.136193643,0.123245944,0.094865924,0.118361498
26,1,1,1,1,1,1,1,0.216077239,0.162334078,0.216077239,0.162334078,0.156689707,0.128401989
27,1,1,1,1,1,1,1,0.153100584,0.183082994,0.153100584,0.183082994,0.691710918,0.559936018
28,1,1,1,1,1,1,1,0.227784267,0.21575438,0.227784267,0.21575438,1.414129123,1.082530733
29,1,1,1,1,1,1,1,0.163035854,0.115105081,0.163035854,0.115105081,0.134771953,0.110073894
30,1,1,1,1,1,1,1,0.149541732,0.162124715,0.149541732,0.162124715,0.125257308,0.114904784
31,1,1,1,1,1,1,1,0.088403825,0.122395941,0.088403825,0.122395941,0.079007263,0.101909263
